Symbol,Name,IndustryCode,Industry,Sector
LCTX,Lineage Cell Therapeutics Inc,56202010,생명 공학 및 의학 연구,
IAF,abrdn Australia Equity Mutual Fund,55501030,폐쇄형 펀드,
BKTI,BK Technologies Corp,57102010,통신 및 네트워킹,
MPTI,M-Tron Industries Inc,57104010,전자 장비 및 부품,
BCV,Bancroft Closed Fund,55501030,폐쇄형 펀드,
LUD,Luda Technology Group Ltd,52102010,산업용 기계 및 장비,
HNW,Pioneer Diversified High Income Fund，Inc.,55501030,폐쇄형 펀드,
PCG PR A,Pacific Gas and Electric 6% 1st Pref Shs,59101010,전력 유틸리티,
ERH,Allspring Utilities And High Income Mutual Fund,55501030,폐쇄형 펀드,
VGZ,Vista Gold Corp,51201060,금,
BLUA,Blueriver Acquisition Corp,55601010,투자 지주 회사,
